disagreement_rank,ingredient_name,cas,smiles_canonical,mw,logp,tpsa,hbd,hba,toxicity_mean,toxicity_std,toxicity_q95,toxicity_lo95,toxicity_hi95,permeability_mean,permeability_std,permeability_q95,permeability_lo95,permeability_hi95,iri_mean,iri_std,iri_q95,iri_lo95,iri_hi95,pareto,composite_score,chemberta_toxicity_mean,chemberta_toxicity_std,chemberta_permeability_mean,chemberta_permeability_std,chemberta_iri_mean,chemberta_iri_std,rf_toxicity_mean,rf_toxicity_std,rf_permeability_mean,rf_permeability_std,rf_iri_mean,rf_iri_std,disagreement_toxicity,disagreement_permeability,disagreement_iri,disagreement_toxicity_z,disagreement_permeability_z,disagreement_iri_z,disagreement_l2
1,DIMETHYL SULFOXIDE,67685.0,CS(C)=O,78.136,-0.0052999999999999,17.07,0,1,58.52212982177734,2.0379425799822375,61.101409408569246,-2.5792795867919054,119.62353923034658,26.00882339477539,0.8479999958784056,42.27190872192383,-16.26308532714844,68.28073211669923,54.63496856689453,1.2211250858294516,47.490009947421136,7.1449586194733925,102.12497851431569,False,0.3881535506818894,58.52212982177734,2.0379425799822375,26.00882339477539,0.8479999958784056,54.63496856689453,1.2211250858294516,14.164666666666667,1.4686777121690864,22.566280000000077,0.0745658438339338,67.91507291005296,0.3668953020935083,44.35746315511067,3.4425433947753135,13.280104343158428,6.205969643753984,-0.6360614063266344,0.431373757525958,6.253376420022724
2,PROPYLENE GLYCOL,57556.0,CC(O)CO,76.095,-0.6405000000000001,40.46,2,2,54.842115020751955,1.683914929561785,61.101409408569246,-6.259294387817292,115.9435244293212,27.55151596069336,1.0309657253012745,42.27190872192383,-14.720392761230473,69.82342468261719,64.66134872436524,1.2313950434113663,47.490009947421136,17.171338776944104,112.15135867178635,False,0.3802121381896384,54.842115020751955,1.683914929561785,27.55151596069336,1.0309657253012745,64.66134872436524,1.2313950434113663,23.075999999999997,2.075854201688226,27.528773333333422,0.2596602443365097,68.46099899470907,1.20641941576664,31.766115020751958,0.02274262735993915,3.7996502703438324,4.101821010401661,-1.3928383400056372,-0.7298437490843059,4.392904066883273
3,N-ACETYL-D-ALANINE,19436523.0,CC(=O)N[C@H](C)C(=O)O,131.131,-0.4044000000000001,66.4,2,2,61.475390625,1.3883389728775426,61.101409408569246,0.3739812164307565,122.57680003356924,25.072996139526367,0.6844103461880457,42.27190872192383,-17.198912582397462,67.3449048614502,51.68172378540039,0.6576091767471592,47.490009947421136,4.191713837979258,99.17173373282154,False,0.405932896101233,61.475390625,1.3883389728775426,25.072996139526367,0.6844103461880457,51.68172378540039,0.6576091767471592,59.690333333333335,0.8454443933353741,20.65267999999992,0.7479943552371676,94.31530134920656,0.9259039413794644,1.7850572916666678,4.420316139526449,42.63357756380617,-0.908333658816753,-0.41968743897212324,4.026746586911145,4.149204219771661
4,CYSTEINE,52904.0,N[C@@H](CS)C(=O)O,121.16099999999996,-0.6719000000000002,63.32000000000001,3,3,55.97396392822266,0.4352381731331021,61.101409408569246,-5.127445480346587,117.0753733367919,28.309391021728516,0.968400520075496,42.27190872192383,-13.962517700195312,70.58129974365235,60.652731323242186,0.7123780045418929,47.490009947421136,13.16272137582105,108.14274127066332,False,0.4631873100438063,55.97396392822266,0.4352381731331021,28.309391021728516,0.968400520075496,60.652731323242186,0.7123780045418929,55.57877777777778,1.9364562963450305,16.78815333333332,1.2502708860971754,99.1275333333337,0.5718476279829321,0.3951861504448786,11.521237688395196,38.474802010091516,-1.1405959575897833,1.1516946389696512,3.5173571692793235,3.872875047840073
5,PROLINE,147853.0,O=C(O)[C@@H]1CCCN1,115.13200000000002,-0.177,49.33,2,2,51.46365814208984,0.8636343845496289,61.101409408569246,-9.637751266479404,112.56506755065908,20.389945602416994,0.1794353267775927,42.27190872192383,-21.881963119506835,62.66185432434082,50.28976745605469,1.0559552922013369,47.490009947421136,2.7997575086335544,97.77977740347583,False,0.4512135598690487,51.46365814208984,0.8636343845496289,20.389945602416994,0.1794353267775927,50.28976745605469,1.0559552922013369,61.28911111111111,1.6410231978258136,21.235706666666587,0.5458928259486671,89.49199111111137,0.0551868460127569,9.82545296902127,0.8457610642495936,39.202223655056684,0.43530225654262,-1.210710370749296,3.6064557232444727,3.829076982787602
6,SUCROSE,57501.0,OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O,342.297,-5.395599999999993,189.52999999999997,8,11,54.2729248046875,2.0021530330689483,61.101409408569246,-6.828484603881748,115.37433421325674,25.38913917541504,0.8475772765727758,42.27190872192383,-16.88276954650879,67.66104789733888,77.47786254882813,1.0003887189412568,47.490009947421136,29.987852601406992,124.96787249624929,False,0.2647549846521914,54.2729248046875,2.0021530330689483,25.38913917541504,0.8475772765727758,77.47786254882813,1.0003887189412568,55.71033333333333,0.1420805718206687,4.1492,0.2907150802188804,81.74928243386235,0.4521470206811264,1.4374085286458325,21.23993917541504,4.27141988503422,-0.9664294768174339,3.3023722985477963,-0.6720588443257709,3.5058967215412897
7,FATTY ACID ESTERS,,O=CO,46.025,-0.2991999999999999,37.3,1,1,34.588462829589844,1.4474785698785368,61.101409408569246,-26.512946578979403,95.6898722381591,21.109579467773436,0.7881443466727551,42.27190872192383,-21.162329254150393,63.381488189697265,62.00183792114258,2.643616646294717,47.490009947421136,14.511827973721443,109.49184786856372,True,0.4384159905629,34.588462829589844,1.4474785698785368,21.109579467773436,0.7881443466727551,62.00183792114258,2.643616646294717,59.29244444444445,0.3086363476030139,33.51021333333336,0.222771109038452,70.4656563482814,0.724709848081742,24.703981614854605,12.400633865559925,8.463818427138818,2.921663159470514,1.3462985904000555,-0.15855110045734974,3.220834358264429
8,2-AMINOETHANOL,141435.0,NCCO,61.084,-1.0626000000000002,46.25,2,2,50.71981506347656,2.61472838385156,61.101409408569246,-10.381594345092688,111.8212244720458,28.285055541992183,1.0881252508401946,42.27190872192383,-13.986853179931645,70.55696426391602,72.8333953857422,1.4479131262988447,47.490009947421136,25.343385438321057,120.32340533316332,True,0.3451632639473547,50.71981506347656,2.61472838385156,28.285055541992183,1.0881252508401946,72.8333953857422,1.4479131262988447,26.97111111111111,1.5318690915284665,20.10512666666655,0.4782935255909586,73.05355838624344,0.2006521329876606,23.74870395236545,8.179928875325633,0.2201630005012447,2.762026068465649,0.4122874015297628,-1.1682787913834745,3.027151175402445
9,MALTOSE ANHYDROUS,69794.0,OC[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O)C(O)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1O,342.297,-5.397199999999993,189.52999999999997,8,11,54.7054084777832,2.173802926157083,61.101409408569246,-6.396000930786045,115.80681788635243,25.02932243347168,0.8065235514976424,42.27190872192383,-17.24258628845215,67.30123115539551,78.36251983642578,1.375141845222306,47.490009947421136,30.87250988900464,125.8525297838469,False,0.234135511451808,54.7054084777832,2.173802926157083,25.02932243347168,0.8065235514976424,78.36251983642578,1.375141845222306,57.661,0.5057397222551001,6.947420000000054,0.191867135278556,77.11829067099582,0.1349055253780717,2.9555915222167997,18.081902433471626,1.2442291654299567,-0.7127248983232435,2.6035218319401086,-1.042845605429607,2.8937570158606096
10,ANHYDROUS LACTOSE,16984386.0,OC[C@H]1O[C@@H](O[C@H]2[C@H](O)[C@@H](O)C(O)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@H]1O,342.297,-5.397199999999993,189.52999999999997,8,11,54.7054084777832,2.173802926157083,61.101409408569246,-6.396000930786045,115.80681788635243,25.02932243347168,0.8065235514976424,42.27190872192383,-17.24258628845215,67.30123115539551,78.36251983642578,1.375141845222306,47.490009947421136,30.87250988900464,125.8525297838469,False,0.234135511451808,54.7054084777832,2.173802926157083,25.02932243347168,0.8065235514976424,78.36251983642578,1.375141845222306,57.661,0.5057397222551001,6.947420000000054,0.191867135278556,77.11829067099582,0.1349055253780717,2.9555915222167997,18.081902433471626,1.2442291654299567,-0.7127248983232435,2.6035218319401086,-1.042845605429607,2.8937570158606096
