ingredient_name,cas,smiles_canonical,mw,logp,tpsa,hbd,hba,toxicity_mean,toxicity_std,toxicity_q95,toxicity_lo95,toxicity_hi95,permeability_mean,permeability_std,permeability_q95,permeability_lo95,permeability_hi95,iri_mean,iri_std,iri_q95,iri_lo95,iri_hi95,pareto,composite_score,chemberta_toxicity_mean,chemberta_toxicity_std,chemberta_permeability_mean,chemberta_permeability_std,chemberta_iri_mean,chemberta_iri_std,rf_toxicity_mean,rf_toxicity_std,rf_permeability_mean,rf_permeability_std,rf_iri_mean,rf_iri_std
"1,2,6-HEXANETRIOL",106694.0,OCCCCC(O)CO,134.175,-0.4977999999999999,60.69,3,3,45.026397705078125,1.1030709478731535,61.101409408569246,-16.07501170349112,106.12780711364738,17.733907318115236,0.3120333954167253,42.27190872192383,-24.538001403808593,60.005816040039065,59.55243453979492,1.4806697974389107,47.490009947421136,12.062424592373787,107.04244448721606,True,0.3648288054008328,45.026397705078125,1.1030709478731535,17.733907318115236,0.3120333954167253,59.55243453979492,1.4806697974389107,51.059333333333335,0.6599198604544498,12.810259999999955,0.7574245416321427,58.71239066137565,1.3957314737505033
"1,4-SORBITAN",27299123.0,OC[C@@H](O)[C@H]1OC[C@H](O)[C@H]1O,164.157,-2.539799999999999,90.15,4,5,49.023047637939456,2.324829374818593,61.101409408569246,-12.07836177062979,110.1244570465087,22.665743255615233,0.5868769850844571,42.27190872192383,-19.606165466308596,64.93765197753906,78.16347198486328,1.2964133990284803,47.490009947421136,30.673462037442143,125.65348193228442,False,0.256016638951889,49.023047637939456,2.324829374818593,22.665743255615233,0.5868769850844571,78.16347198486328,1.2964133990284803,57.139,1.6189928968343255,11.61045333333333,0.8157063900421169,67.96626177729674,0.17117591087973144
2-AMINOETHANOL,141435.0,NCCO,61.084,-1.0626000000000002,46.25,2,2,50.71981506347656,2.61472838385156,61.101409408569246,-10.381594345092688,111.8212244720458,28.285055541992183,1.0881252508401946,42.27190872192383,-13.986853179931645,70.55696426391602,72.8333953857422,1.4479131262988447,47.490009947421136,25.343385438321057,120.32340533316332,True,0.3451632639473547,50.71981506347656,2.61472838385156,28.285055541992183,1.0881252508401946,72.8333953857422,1.4479131262988447,26.97111111111111,1.5318690915284663,20.10512666666655,0.47829352559095867,73.05355838624344,0.20065213298766063
ACESULFAME,33665906.0,CC1=CC(=O)NS(=O)(=O)O1,163.154,-0.7185999999999999,72.47,1,4,59.78163833618164,1.1189372334191323,61.101409408569246,-1.3197710723876028,120.88304774475088,25.36958427429199,0.5928917401348499,42.27190872192383,-16.902324447631838,67.64149299621582,48.477595520019534,1.5920232873324272,47.490009947421136,0.9875855725983982,95.96760546744068,False,0.4341603870794348,59.78163833618164,1.1189372334191323,25.36958427429199,0.5928917401348499,48.477595520019534,1.5920232873324272,62.85933333333333,0.6012084127451583,20.52681333333329,0.4479901065375904,52.97858343915334,1.6465721881954467
ACETIC ACID,463832.0,CC(O)(O)O,78.06700000000001,-1.363,60.69,3,3,58.19544143676758,1.3263485435122329,61.101409408569246,-2.9059679718016653,119.29685084533682,24.93849906921387,0.6655291178269733,42.27190872192383,-17.33340965270996,67.2104077911377,69.28369598388672,1.6091942443671343,47.490009947421136,21.79368603646558,116.77370593130786,False,0.2847950272598327,58.19544143676758,1.3263485435122329,24.93849906921387,0.6655291178269733,69.28369598388672,1.6091942443671343,53.89533333333333,1.7158627243718791,18.844153333333285,0.5781008300365021,71.81354156084667,0.32462836290175595
ACETIC ANHYDRIDE,108247.0,CC(=O)OC(C)=O,102.089,0.096,43.370000000000005,0,3,63.07163772583008,2.7341088993715523,61.101409408569246,1.9702283172608333,124.17304713439933,25.296794509887697,0.8866534861168838,42.27190872192383,-16.975114212036132,67.56870323181153,44.4579216003418,0.7650193317279718,47.490009947421136,-3.0320883470793376,91.94793154776292,False,0.3959171201951033,63.07163772583008,2.7341088993715523,25.296794509887697,0.8866534861168838,44.4579216003418,0.7650193317279718,67.60533333333335,1.2679109677821347,19.828533333333286,0.3926216711061743,68.42576814814812,0.8799161765896638
ACETONE,67641.0,CC(C)=O,58.080000000000005,0.5952999999999999,17.07,0,1,58.70997619628906,2.6560015616098136,61.101409408569246,-2.391433212280184,119.81138560485832,26.7519229888916,0.7369338674615994,42.27190872192383,-15.519985733032229,69.02383171081543,48.085028076171874,1.1439538419549464,47.490009947421136,0.5950181287507377,95.575038023593,True,0.4433554169491942,58.70997619628906,2.6560015616098136,26.7519229888916,0.7369338674615994,48.085028076171874,1.1439538419549464,56.144000000000005,2.9629314313137045,19.85625333333328,0.8074431405093138,69.69218941798944,0.6677310416352557
ACETONITRILE,75058.0,CC#N,41.053,0.52988,23.79,0,1,59.903768157958986,2.039314993266721,61.101409408569246,-1.1976412506102605,121.00517756652825,25.93320960998535,0.6681831261144272,42.27190872192383,-16.338699111938478,68.20511833190918,49.66359252929688,1.315449467750909,47.490009947421136,2.173582581875742,97.15360247671802,False,0.4180291388131003,59.903768157958986,2.039314993266721,25.93320960998535,0.6681831261144272,49.66359252929688,1.315449467750909,51.496,0.5240839627387953,27.48091999999998,0.6539316979624089,66.20224846560852,0.22458694323861964
ADIPIC ACID,124049.0,O=C(O)CCCCC(=O)O,146.14200000000002,0.716,74.6,2,2,53.031761169433594,0.7057117678586756,61.101409408569246,-8.069648239135653,114.13317057800283,18.005073928833006,0.6323007402785862,42.27190872192383,-24.266834793090823,60.276982650756835,52.01658248901367,1.3563469041335017,47.490009947421136,4.526572541592536,99.5065924364348,False,0.3361416435647008,53.031761169433594,0.7057117678586756,18.005073928833006,0.6323007402785862,52.01658248901367,1.3563469041335017,61.202,1.2748364600998838,19.08219333333328,0.7534082838821168,57.36630944444423,0.556127328090206
ALCOHOL,8024451.0,CCO,46.069,-0.0014,20.23,1,1,53.40770416259765,3.1268626746461488,61.101409408569246,-7.693705245971593,114.50911357116688,26.545072174072267,0.7114843275297535,42.27190872192383,-15.726836547851562,68.8169808959961,49.78523406982422,1.1686737562896206,47.490009947421136,2.2952241224030843,97.27524401724536,True,0.4681078110598209,53.40770416259765,3.1268626746461488,26.545072174072267,0.7114843275297535,49.78523406982422,1.1686737562896206,43.03466666666667,1.0311085727938107,28.25134666666662,0.16812394819167364,66.26982476190476,1.029447831180984
ALLANTOIN,97596.0,NC(=O)NC1NC(=O)NC1=O,158.117,-2.1798,113.32,4,3,59.018193054199216,1.0615278014651113,61.101409408569246,-2.0832163543700304,120.11960246276846,25.1763126373291,0.5956815366927344,42.27190872192383,-17.095596084594728,67.44822135925293,47.8251594543457,1.7918113458467546,47.490009947421136,0.3351495069245658,95.31516940176684,False,0.4368786690372019,59.018193054199216,1.0615278014651113,25.1763126373291,0.5956815366927344,47.8251594543457,1.7918113458467546,63.638444444444445,1.6868651910687744,18.226859999999963,0.6141093930780206,58.22658777777772,0.31921839624405807
AMINOMETHYLPROPANOL,124685.0,CC(C)(N)CO,89.13799999999999,-0.2840000000000001,46.25,2,2,65.06594314575196,1.310798597441779,61.101409408569246,3.964533737182713,126.1673525543212,27.4194091796875,0.6217577167398058,42.27190872192383,-14.85249954223633,69.69131790161133,54.471168518066406,1.5422240965938483,47.490009947421136,6.98115857064527,101.96117846548754,False,0.3790870050277021,65.06594314575196,1.310798597441779,27.4194091796875,0.6217577167398058,54.471168518066406,1.5422240965938483,54.76333333333333,0.5582313339666852,26.5889866666666,0.669571880001617,68.23013719576726,0.6609865264824164
AMMONIUM ACETATE,631618.0,CC(=O)[O-].[NH4+],77.083,-0.8676000000000001,76.63,1,2,60.70139083862305,1.4375944573326518,61.101409408569246,-0.400018569946198,121.8028002471923,22.931043243408205,0.7543825551017174,42.27190872192383,-19.340865478515624,65.20295196533203,51.66928329467773,1.2784302760714434,47.490009947421136,4.179273347256597,99.15929324209888,False,0.3433174019417113,60.70139083862305,1.4375944573326518,22.931043243408205,0.7543825551017174,51.66928329467773,1.2784302760714434,58.31866666666667,1.9443225612593775,18.926913333333275,0.1669176454289858,76.59604052910059,0.7543258664788067
ANHYDROUS CITRIC ACID,77929.0,O=C(O)CC(O)(CC(=O)O)C(=O)O,192.123,-1.2484999999999995,132.13,4,4,51.61242752075195,0.7346477391510242,61.101409408569246,-9.488981887817296,112.7138369293212,19.65640640258789,0.708044379214927,42.27190872192383,-22.61550231933594,61.92831512451172,52.07360153198242,0.7371258833030762,47.490009947421136,4.583591584561283,99.56361147940356,False,0.3968668356164579,51.61242752075195,0.7346477391510242,19.65640640258789,0.708044379214927,52.07360153198242,0.7371258833030762,63.35366666666666,0.24827448967266386,12.542679999999997,0.605754984351482,65.41074634920633,0.5559943718222485
ANHYDROUS DEXTROSE,2280446.0,OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O,180.156,-3.2214000000000005,110.38,5,6,52.326114654541016,2.2408170144751156,61.101409408569246,-8.77529475402823,113.42752406311028,24.257975769042968,0.8032222027025493,42.27190872192383,-18.01393295288086,66.5298844909668,80.04337463378906,1.78254055908168,47.490009947421136,32.55336468636792,127.5333845812102,False,0.2151122653378117,52.326114654541016,2.2408170144751156,24.257975769042968,0.8032222027025493,80.04337463378906,1.78254055908168,54.33377777777778,0.6932449373849602,10.245960000000032,0.6488104678563666,77.69658575036082,0.05099557047273812
ANHYDROUS LACTOSE,16984386.0,OC[C@H]1O[C@@H](O[C@H]2[C@H](O)[C@@H](O)C(O)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@H]1O,342.297,-5.397199999999993,189.52999999999997,8,11,54.7054084777832,2.173802926157083,61.101409408569246,-6.396000930786045,115.80681788635243,25.02932243347168,0.8065235514976424,42.27190872192383,-17.24258628845215,67.30123115539551,78.36251983642578,1.375141845222306,47.490009947421136,30.87250988900464,125.8525297838469,False,0.234135511451808,54.7054084777832,2.173802926157083,25.02932243347168,0.8065235514976424,78.36251983642578,1.375141845222306,57.661,0.5057397222551001,6.947420000000054,0.19186713527855603,77.11829067099582,0.13490552537807174
ARGININE,74793.0,NC(N)=NCCC[C@H](N)C(=O)O,174.20399999999998,-1.548099999999999,127.72,4,3,62.3197525024414,0.599027864241125,61.101409408569246,1.2183430938721571,123.42116191101064,27.356832885742183,0.6203367601502408,42.27190872192383,-14.915075836181645,69.62874160766602,52.90642623901367,0.6963825971322009,47.490009947421136,5.416416291592533,100.3964361864348,True,0.4585160728733072,62.3197525024414,0.599027864241125,27.356832885742183,0.6203367601502408,52.90642623901367,0.6963825971322009,62.04366666666667,1.145474089139028,16.363099999999978,1.018270323768035,65.28582777777744,0.29261828641288984
ASCORBIC ACID,50817.0,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,176.124,-1.4073999999999995,107.22,4,6,48.813967895507815,1.30248284082942,61.101409408569246,-12.287441513061433,109.91537730407704,23.526446533203124,0.7153321540300651,42.27190872192383,-18.745462188720705,65.79835525512695,64.27430877685546,1.1449427548779445,47.490009947421136,16.784298829434327,111.7643187242766,True,0.3920576312984283,48.813967895507815,1.30248284082942,23.526446533203124,0.7153321540300651,64.27430877685546,1.1449427548779445,57.14344444444444,0.6340954673614945,12.364139999999997,1.0270547118175575,63.28955170274162,0.8230233200981155
ASPARTAME,22839470.0,COC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H](N)CC(=O)O,294.307,-0.3110999999999995,118.72,3,5,60.35761413574219,1.0043411845907169,61.101409408569246,-0.7437952728270574,121.45902354431144,24.56963768005371,0.3853900183668917,42.27190872192383,-17.70227104187012,66.84154640197754,37.99990234375,1.0481449032944297,47.490009947421136,-9.490107603671134,85.48991229117114,False,0.519996305232746,60.35761413574219,1.0043411845907169,24.56963768005371,0.3853900183668917,37.99990234375,1.0481449032944297,70.43133333333333,0.6592628880466119,17.945646666666647,1.2462712746250346,33.215207222222084,0.7528022844387293
ASPARTIC ACID,56848.0,N[C@@H](CC(=O)O)C(=O)O,133.10299999999998,-1.127,100.62000000000002,3,3,54.82100601196289,0.4618384605826259,61.101409408569246,-6.280403396606353,115.92241542053212,22.648795700073244,0.6817578393014877,42.27190872192383,-19.623113021850585,64.92070442199707,54.29630966186524,0.335553191515022,47.490009947421136,6.806299714444101,101.78631960928638,False,0.4334871680880391,54.82100601196289,0.4618384605826259,22.648795700073244,0.6817578393014877,54.29630966186524,0.335553191515022,61.20077777777777,1.4466339047322858,15.904313333333313,1.1776655185955287,64.4108555555553,0.7874728513948598
